CNPJ/CPF,Incentivador,ESPORTE (Valor que pode aportar/ ano),CULTURA (valores aportados 2016),
53261244000194,WABTEC DIA-FRAG INDUSTRIA E COMERCIO DE PECAS E EQUIPAMENTOS LTDA. ,"11861,07","47444,26",
28542017000190,Imprensa Oficial do Estado do Rio de Janeiro,"11854,59","47418,37",
18671286000100,Tipler Comércio de Produtos para Recapagem LTDA,11750,47000,
9229532000170,TRIP PARTICIPACOES S/A,"11748,13","46992,5",
2773542000122,RB Capital Companhia de Securitização,11700,46800,
4207303000130,SERABI MINERACAO S.A.,"11666,5",46666,
10304207000103,On Brasil Comercio de Alimentos Ltda.,"11654,9","46619,61",
90721994000128,Rádio Gaúcha S.A,"11524,07","46096,28",
9606475000109,CPFL ATENDE CENTRO DE CONTATOS E ATENDIMENTO LTDA,11500,46000,
2713530000102,Alfa Prêvidencia e Vida ,11500,46000,
9497818000217,CANDEIAS ENERGIA S.A.,11500,46000,
59802041000144,HSBC PARTICIPACOES E INVESTIMENTOS LTDA.,11500,46000,
19246547000108,W GO Logística em Duas Rodas Ltda,"11499,25",45997,
28672087000324,SAINT-GOBAIN CANALIZACAO LTDA,11425,45700,
14832534000199,CAIUA TRANSMISSORA DE ENERGIA S.A. ,"11384,27","45537,09",
46062030000123,Adere Produtos Auto-Adesivos Ltda.,"11328,84","45315,36",
85244168000103,Mig Supermercados Ltda.,"11291,52","45166,06",
43460336000140,J L DAOLIO E CIA LTDA,11250,45000,
89738173000115,SANREMO S/A,11250,45000,
73914749000118,Posto Aldo Linho Ltda,11250,45000,
4484321000160,Promex Comércio Importação Exportação Ltda.,11250,45000,
2998543000175,MEGAPETRO PETROLEO BRASIL S.A,11250,45000,
57839805000140,Banco Tricury S/A,11250,45000,
80795727000222,POTENCIAL PETROLEO LTDA ,11250,45000,
42169508000168,Edenred Brasil Participações S.A.,11250,45000,
93896397000122,Mercur S.A,11250,45000,
11248741000102,FERREIRA E ANDRADE SERVICOS DE ENGENHARIA LTDA ,11250,45000,
78116670000599,CIA BEAL DE ALIMENTOS ,11250,45000,
56814395000110,Cerealista São João Ltda,11250,45000,
7137359000154,Organizações Guimarães Ltda.,11250,45000,
997804000107,OMNI DTVM - Distribuidora de Valores e Títulos Mobiliários Ltda,11250,45000,
54506589000123,Power - Segurança e Vigilância Ltda.,11250,45000,
3353341000139,"Skava -Minas Mineracao, Construcoes e Transportes Ltda",11250,45000,
91983056000169,Kepler Weber S.A.,11250,45000,
75635144000113,INPLASUL INDUSTRIA DE PLÁSTICOS SUDOESTE LTDA,"11117,86","44471,42",
92889070000160,Savar Veículos Ltda.,11000,44000,
13511181000162,Parkshopping Campo Grande Ltda,11000,44000,
14522198000188,TIJOA PARTICIPACOES E INVESTIMENTOS S.A. ,"10785,94","43143,75",
25686353000118,Hidroazul Industria e Comercio Ltda,10750,43000,
33346586005835,MPRESA CARIOCA DE PRODUTOS QUIMICOS S A ,10750,43000,
17155391000116,Construtora Ápia Ltda.,10750,43000,
88634977000101,Soprano Eletrometalurgica e Hidraulica Ltda.,10725,42900,
1170892000131,Votorantim Corretora de Títulos e Valores Mobiliários Ltda,"10717,5",42870,
94319589000139,Galvanotek Embalagens Ltda.,10625,42500,
14584941000124,AUTOCROMO CROMACAO DE PLASTICOS LTDA ,10542,42168,
1958531000154,I L FERREIRA & CIA LTDA - EPP ,10500,42000,
75092593000162,Metropolitana Vigilancia Comercial e Industrial S/A,10500,42000,
11596442000169,Carvalho & Fernandes Ltda,10500,42000,
5194267000180,SISTEMAS DE IDENTIFICACAO ANIMAL LTDA,10500,42000,
1600200000148,Veolia Serviços Ambientais Ltda.,"10357,5",41430,
2007384000108,PRODUTOS ALIMENTICIOS CROQUES LTDA ,10250,41000,
25761040000187,HOSPITAL E MATERNIDADE SANTA CLARA LTDA,10250,41000,
4014181000166,Megadata Computação Ltda,10250,41000,
98513187000121,MOINHO VACARIA INDUSTRIAL E AGRICOLA LTDA ,"10238,48","40953,92",
77728988000134,Supermecado Luedgil Ltda,10150,40600,
30055933000147,M. Agostini,"10096,25",40385,
3873484000171,"Empreza Gestão de Pessoas e Serviços Ltda_x000D_
",10000,40000,
7945678000196,Servis Segurança Ltda.,10000,40000,
79283065000141,Orbenk Administração e Serviços Ltda.,10000,40000,
82015652000164,Lightsweet industria e comercio de alimentos Ltda.,10000,40000,
546997000180,Galvani Industria Comércio e Serviço Ltda.,10000,40000,
1914851000102,C. B. Distribuidora de Bebidas Ltda.,10000,40000,
3322366000175,Funcional Card Ltda,10000,40000,
7144693000135,MLV Serviços de Eventos Ltda.,10000,40000,
47495429000160,COMBUSTRAN DERIVADOS DE PETROLEO LTDA ,10000,40000,
91321885000186,HOTEL ALPESTRE LTDA,10000,40000,
10821402000100,Imautomatiche do Brasil Indústria e Comércio de Máquinas  Ltda,10000,40000,
76576313000154,Expresso Azul Ltda,10000,40000,
29689999000100,RAPIDO MACAENSE LTDA,10000,40000,
856424000152,Instituto de Previdência e Assistência Odontológica Ltda,10000,40000,
73314098000125,Sociedade Agostiniana de Educação Ltda,10000,40000,
5456604000160,Gadkin Alimentos S.A.,10000,40000,
7285958000115,SGW SERVICES - ENGENHARIA AMBIENTAL LTDA.,10000,40000,
1714762000112,Andritz Hydro Brasil Ltda.,10000,40000,
8346085000176,Escola Baiana de Direito e Gestão Ltda,10000,40000,
65107971000180,Univale Trasportes Ltda,10000,40000,
32402414000133,HOSPITAL METROPOLITANO S/A,10000,40000,
3119648000170,CATARATAS DO IGUAÇU S/A,10000,40000,
5010190000141,Objeto Brasil Confecções Ltda.,10000,40000,
5399964000178,GRANT THORNTON CONSULTING SERVICES LTDA.,10000,40000,
10966735000128,COMPASS COMERCIALIZADORA DE ENERGIA ELÉTRICA LTDA.,10000,40000,
84688589000152,Meister S.A.,10000,40000,
88709621000190,Cavaletti Estofados para Escritórios Ltda,10000,40000,
53730495000170,Termares Terminais Maritimos Especializados Ltda,10000,40000,
30535975000185,FILO SA,10000,40000,
52742277000193,PRODUTOS QUIMICOS GUACU INDUSTRIA E COMERCIO LTDA,10000,40000,
75285965000177,ORCALI SERVICOS ESPECIALIZADOS LTDA ,10000,40000,
86791928000157,FUTURAGRO DISTRIBUIDORA DE INSUMOS AGRICOLAS LTDA ,10000,40000,
6943259000152,Cipalan Indústria e Comércio de Laminados Ltda,10000,40000,
6867848000107,Hard Comércio de Fixadores e REsinas Ltda.,10000,40000,
8795322000186,BM Sua Casa Promotora de Vendas Ltda.,10000,40000,
1733454000134,Flexoprint Etiquetas Ltda.,10000,40000,
5022353000106,Rv Tecnologia e Sistemas S.A.,10000,40000,
13829957000197,Brasquimica Produtos Asfalticos ltda.,10000,40000,
66670000100,Bem - Distribuidora de Títulos e Valores Mobiliários Ltda,10000,40000,
82981721000194,Garthen Indústria e Comércio de Máquinas Ltda.,10000,40000,
60519634000187,Cerâmica Carmelo Fior Ltda,10000,40000,
87392338000114,FAMILIA KROTH INDUSTRIA E COMERCIO DE CARNES LTDA ,10000,40000,
83144733000127,Lavoura e Pecuária Igarashi Ltda,10000,40000,
36321990000107,Uniletra S/A Sociedade Crédito Financiamento e Investimentos,10000,40000,
7007165000134,GDM GENETICA DO BRASIL LTDA ,10000,40000,
89519706000178,Rud Correntes Industriais Ltda.,10000,40000,
1057428000133,Descarpack Descartáveis do Brasil Ltda.,10000,40000,
61142865000691,Renner Sayerlack S/A,10000,40000,
2341494000101,Norfil S/A Industria Textil,10000,40000,
97755177000130,A. Grings S/A,10000,40000,
173342000103,BM Logistica Comercio e Serviços S.A.,"9996,25",39985,
5411322000147,PPR - PROFISSIONAIS DE PUBLICIDADE REUNIDOS S.A. ,"9947,39","39789,54",
61256335000160,SUPERMERCADOS PALOMAX LTDA,"9922,21","39688,82",
87715835000106,Benedetti & Benedetti Ltda.,9825,39300,
14014761000107,"ROYAL BLUE COMERCIO, IMPORTACAO E EXPORTACAO LTDA",9750,39000,
7680669000110,RMBPACK MAQUINAS E EMBALAGENS LTDA,9750,39000,
82637513000172,Breitkopf Veiculos Ltda,9750,39000,
3748067000105,Sertrading S/A,"9718,91","38875,62",
68328632000112,Credit Suisse Hedging - Grifo Asset. Management S/A ,9625,38500,
17279415000149,Mercantil do Brasil Administradora e Corretora de Seguros e Previdência Privada S/A ,9575,38300,
27816594000160,Pathfinder Empreendimentos e Participações S.A,9500,38000,
94496353000178,Silvestrin Frutas Ltda,9500,38000,
11614678000180,LESATH EMPREENDIMENTOS E PARTICIPACOES LTDA.,9500,38000,
61082988000170,Maringá S/A - Cimento e Ferro Liga,9500,38000,
1097636000166,IN PRESS ASSESSORIA DE IMPRENSA E COMUNICACAO ESTRATEGICA LTDA.,9500,38000,
42129890000186,Sigem Sistema Globo de Edições Musicais Ltda,9500,38000,
94495637000140,Moveis Civardi Ltda,9475,37900,
18810553000175,FINSOL SOCIEDADE DE CREDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUEN,"9409,08","37636,33",
3824725000192,CAEP - CENTRAL ABRIL EDUCACAO E PARTICIPACOES S.A.,"9385,58","37542,32",
87793089000179,GZT - Comércio e Importação Ltda,9375,37500,
72271471000145,REDE BRASIL SUL ADMINISTRACAO ECOBRANCA LTDA,"9357,31","37429,25",
33061862000183,Factor Seguradora S.A.,"9355,5",37422,
1383276000169,GAUDI EDITORIAL LTDA ,"9329,56","37318,22",
9382998000100,Mapfre Capitalização S/A,"9262,5",37050,
87547428000137,Vinhos Salton S.A. Indústria e Comércio,9250,37000,
81442014000167,Moinho Globo Indústria e Comércio Ltda,9250,37000,
61455192000115,TRB Pharma Indústria Química e Farmacêutica Ltda.,9250,37000,
9611802000102,BRASILTEC SERVICOS DE TECNOLOGIA EM TELECOMUNICACOES LTDA.,9250,37000,
2974456000188,Mercantil Canopus Comercio de Motocicletas Ltda,"9172,32","36689,28",
10588052000184,KGMA EMPREENDIMENTOS IMOBILIARIOS LTDA.,9125,36500,
19449767000120,BTG PACTUAL PV HOLDING LTDA.,"9123,84","36495,36",
8904165000108,Barreira Grande Comércio de Alimentos Ltda. ,"9100,35","36401,38",
7964913000177,REC LOG 411 S.A.,9092,36368,
17943291000154,Supermercado Carrocel Ltda,"9022,12","36088,49",
3300974000189,ELASA - Elo Alimentação S.A.,9000,36000,
93064137000190,Refrigeração Tipi Ltda.,9000,36000,
61923017000105,Tirreno Ind. e Com. de Produtos Químicos Ltda,9000,36000,
2898246000158,BHS CORRUGATED SOUTH AMERICA LTDA,9000,36000,
33375692000101,Sulatlantida Importadora e Exportadora Ltda.,9000,36000,
48340384000118,Mina Mercantil Industrial e Agrícola Ltda.,9000,36000,
59775478000136,POMPEIA S.A.INDUSTRIA E COMERCIO ,8900,35600,
2980309000110,Divesa Automoveis LTDA,8875,35500,
7609453000169,Arauco Florestal Arapoti S.A,"8844,54","35378,17",
63473235000110,Comercial de Miudezas Freitas Ltda.,"8762,82","35051,26",
91022632000101,COOPERATIVA AGRICOLA MISTA NOVA PALMA LTDA,8750,35000,
9216620000137,BR SUPPLY COMÉRCIO E DISTRIBUIÇÃO DE SUPRIMENTOS S/A,8750,35000,
11419911000174,A Yoshii Maringá Engenharia Ltda.,8750,35000,
50028976000140,COMERCIAL SACILOTTO LTDA,8750,35000,
83932418000164,Clemar Engenharia Ltda,8750,35000,
91473678000147,"Baldo S.A - Comércio, Indústria e Exportações",8750,35000,
84693183000168,Schulz S/A,8750,35000,
8641953000140,Tupan Construções Indústria e Comércio Ltda.,8750,35000,
7455195000103,NOVA UNIAO ADMINISTRADORA E INCORPORADORA S/A,8750,35000,
843966000190,Jost Brasil Sistemas Automotivos Ltda.,8750,35000,
61296646000152,Aurora Bebidas e Alimentos Finos Ltda,8750,35000,
43790666000101,Magotteaux Brasil Ltda,8750,35000,
2151119000190,Companhia Muller de Bebidas Nordeste,8750,35000,
2713529000188,Alfa Seguradora S.A,8750,35000,
2952192000161,Cabo Serviços de Telecomunicações Ltda,8750,35000,
308055000163,Celular House Telecomunicações Ltda,8750,35000,
46543948000194,Trützchler Industria e Comércio de Máquinas Ltda.,8750,35000,
1625195000128,SCS - Sociedade Comercial e Serviços Quimicos S.A,8750,35000,
89835672000120,OSMAR NICOLI SUPERMERCADOS LTDA,8750,35000,
88887021000111,Calçados Marte Ltda,8675,34700,
83080382000138,Cerealista Martendal Ltd.,8625,34500,
8111865000137,W Sul Logística em Duas Rodas Ltda.,"8604,21","34416,85",
6752049000187,MB Importação e Distribuição Ltda.,"8582,85","34331,38",
14793478000120,Unic Educacional Ltda,"8581,05","34324,18",
17300096000106,Hidropoços Ltda.,"8558,47","34233,87",
2814340000181,Distribuidora e Importadora Irnãos Avelino Ltda.,"8523,05","34092,18",
242640000108,Greca Transportes de Cargas  ,8500,34000,
8257293000107,"SOFISA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO",8500,34000,
87547675000133,Concresul Britagem Ltda.,8375,33500,
83314757000187,Comercial Celeiro Ltda,8375,33500,
7957111000130,Corpvs - Corpos de Vigilantes Particulares Ltda,"8272,5",33090,
14200166000166,Elgin Indl da Amazônia Ltda.,"8255,86","33023,44",
87547907000153,Metalúrgica Meber ,8250,33000,
42272526000170,BNY Mellon Banco S/A,8250,33000,
1804345000160,Estrada Distribuidora de Derivados do Petróleo Ltda.,8250,33000,
62875596000120,Corumbal Corretora de Seguros Ltda,8250,33000,
90049701000108,Cooperativa Agricola Cairu ltda ,8250,33000,
74232034000148,Laboratórios Ferring Ltda,8250,33000,
19208022000170,CONCESSIONARIA DE RODOVIAS MINAS GERAIS GOIAS S/A,8250,33000,
53424594000124,Indústria e Comércio de Colchões Castor Ltda.,8200,32800,
36113876000191,Oliveira Trust DTMV Ltda,"8052,65","32210,6",
19853098000158,LABORATORIO LABCO NOUS DO BRASIL LTDA,8000,32000,
2102498000129,Metropolitan Life Seguros e Previdência Privada S.A.,8000,32000,
76154749000155,Disam Distribuidora de Insumos Agrícolas Sul América Ltda.,8000,32000,
3119806000191,Águas de Nova Friburgo Ltda,8000,32000,
89096457000155,Agropecuária Schneider Logemann Ltda,8000,32000,
5948057000130,COOPERATIVA AGROPECUARIA TANGARA - COOTAN ,8000,32000,
7656227000139,A.W Faber Castell Amazônia S.A,8000,32000,
3341541000252,RTM - REDE DE TELECOMUNICACOES PARA O MERCADO LTDA,8000,32000,
1780732000104,Malteria do Vale S/A,8000,32000,
82316373000130,HARBOR OPERADORA PORTUARIA LTDA,8000,32000,
61080735000167,Fiação de Seda Bratac S/A,8000,32000,
84869593000117,Vale Fértil Industrias Alimentícias Ltda.,8000,32000,
7327166000166,Cequip Importação e Com. Ltda,8000,32000,
5729768000114,TGM TURBINAS INDUSTRIA E COMERCIO LTDA,8000,32000,
7820929000106,Azulbrasil Comercial de Produtos Alimentícios Ltda.,"7991,91","31967,65",
85355592000117,Industria e Comercio de Moveis Henn Ltda.,"7958,4","31833,58",
83646653000170,Cooperativa Pioneira de Eletrificação,"7824,72","31298,89",
2959800000160,UNIME - UNIAO METROPOLITANA PARA O DESENVOLVIMENTO DA EDUCACAO E CULTU,"7785,31","31141,25",
95391462000193,SISTECHNE - INTERTECHNE SISTEMAS S.A.,7750,31000,
16551758000158,Porto Capitalização,7750,31000,
23595762002208,ODONTO SYSTEM PLANOS ODONTOLOGICOS LTDA,7750,31000,
80229461000170,Viação Campos Gerais Ltda,7750,31000,
9266129000110,Saneamento Ambiental Águas do Brasil S/A,7750,31000,
5069718000158,PERFIL ALUMINIO DO BRASIL S/A ,7750,31000,
2631552000123,Global Transportes Com. Repres. Ltda,"7656,03","30624,12",
12909684000128,TERRA BRASIS RESSEGUROS S.A.,"7655,75",30623,
81642308000213,Auto Posto Ipiranga Ltda,"7647,64","30590,57",
5703007000193,DELOITTE OUTSOURCING SUL SERVICOS CONTABEIS LTDA. ,"7630,93","30523,73",
3291625000148,Linea Verde Alimentos Ltda,7625,30500,
13851374000162,Lavoro Máquinas Agrícolas Ltda.,7625,30500,
8857635000111,REC LOG 331 EMPREENDIMENTOS IMOBILIARIOS S.A.,"7603,5",30414,
84686443000178,Campeã S.A Industria Têxtil,7600,30400,
5607266000200,FINNET S/A - TECNOLOGIA. ,7590,30360,
82461310000178,GUIA DE VEÍCULOS LTDA,7540,30160,
15305456000137,Kasznar Leonardos Dale Barbosa Collona RosmanVianna Agentes da Proprie,7500,30000,
43708379000100,Fast Shop Comercial Ltda,7500,30000,
4462976000137,IBS COMERCIALIZADORA LTDA.,7500,30000,
78141926000194,FOSFOREIRA BRASILEIRA S/A,7500,30000,
57655334000110,ALTRAN CONSULTORIA EM TECNOLOGIA LTDA.,7500,30000,
95425534000176,Xalingo S/A Indústria e Comércio,7500,30000,
9413138000197,NEOMOBILE DO BRASIL TECNOLOGIA DA INFORMAÇÃO LTDA. ,7500,30000,
1776625000102,TREBOLL MOVEIS LTDA ,7500,30000,
38734794000190,JAM ENGENHARIA LTDA,7500,30000,
33466988000138,"Banco Caixa Geral - Brasil S.A_x000D_
",7500,30000,
4854120000298,Jabil do Brasil Ind. Eletroeletônica Ltda,7500,30000,
3994975000170,Industria de Cosméticos Hakesll LTDA.,7500,30000,
9313766000109,"CARUANA S/A SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",7500,30000,
2508145000123,Tramontina Delta SA,7500,30000,
2234234000390,Maxion Wheels do Brasil Ltda.,7500,30000,
8934347000113,Radar Propriedades Agrícolas S.A.,7500,30000,
4196136000170,Servis Eletrotônica Defense Ltda.,7500,30000,
95821310000183,Cooperativa Tritícola Santa Rosa Ltda,7500,30000,
9175609000176,Somar Comércio e Transporte de Alimentos Ltda,7500,30000,
61069373000103,Leo Madeiras Máquinas e Ferragens Ltda,7500,30000,
2419765000196,Pousadas do Brasil Empreendimentos Hoteleiros Ltda,7500,30000,
5537296000106,Petroffácil Combustiveis Ltda.,7500,30000,
59104984000101,São Joaquim Administração e Participação Ltda.,7500,30000,
496586000127,Sonoco do Brasil Ltda.,7500,30000,
7221070000119,BEZERRA & OLIVEIRA COMERCIO DE AUTOPECAS LTDA,7500,30000,
7378783000190,Cerâmica Serra Azul Ltda.,7500,30000,
7857217000161,Borrachas Vipal Nordeste S.A.,7500,30000,
89842439000175,ITM Indústria Texteis H Milagre S.A,7500,30000,
62676002000152,OPUS PRODUTOS DE HIGIENE E DESCARTAVEIS LTDA. ,7500,30000,
61100244000130,FANEM LTDA.,7500,30000,
44144293000156,CRODA DO BRASIL LTDA,7500,30000,
59172676000296,Dacunha S/A,7500,30000,
2288055000174,Benner Sistemas S/A.,7500,30000,
73856593000166,PRATI DONADUZZI E CIA LTDA,7500,30000,
36312056000129,CBF INDUSTRIA DE GUSA S/A,7500,30000,
10320422000106,COMERCIAL FERRONORTE LTDA,7500,30000,
59285411000113,Banco Panamericano S/A,7500,30000,
93618510000108,Steffen Bebidas Ltda.,7500,30000,
5032288000108,"SPOT PROMOCOES, EVENTOS E MERCHANDISING S/C LTDA",7500,30000,
76533629000169,CONSILOS INDUSTRIAL LTDA,7500,30000,
24334092000104,Soprano Fechaduras e Ferragens S.A,7500,30000,
2879926000124,Concessionária Rodovia do Sol S.A.,7500,30000,
763832000160,Frigorífico Industrial Vale do Ipiranga S/A,7500,30000,
53963443000144,Lopes Supermercados Ltda,7500,30000,
19166180000376,Brasfrigo S/A,7500,30000,
45184066000117,Policlin S/A - Serviços Medico-Hospitalares,7500,30000,
5637350000187,CAIBA INDUSTRIA E COMERCIO S/A,7500,30000,
9138393000179,GME Aerospace Ind. de Mat. Composto Ltda,7500,30000,
61381554000170,Razzo Ltda,7500,30000,
8944802000161,Ceramica Elizabeth Sul Ltda,7500,30000,
5151518000140,Belenus do Brasil Ltda,7500,30000,
767378000115,Lexmark Internacional do Brasil Ltda ,7500,30000,
46393484000187,Kurita do Brasil Ltda,7500,30000,
3979930000127,Saepar Serviços e Participações,"7473,48","29893,9",
7489678000633,Sul Mineira Alimentos Ltda.,"7422,44","29689,76",
4208296000191,SOORO CONCENTRADO INDUSTRIA DE PRODUTOS LACTEOS LTDA,7400,29600,
8270822000102,Riber - KWS Sementes S/A,"7374,63","29498,52",
7926885000101,"SOLBRASIL COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA _x000D_
","7358,9","29435,58",
89990501000176,Cooperativa de Crédito de Livre Admissão de Associados de Ibiraiaras - SICREDI Ibiraiaras RS,"7309,65","29238,61",
36070134000126,Probitec - Produtos Betuminosos e Tecnologia de Aplicação S.A.,7300,29200,
9195493000137,Águas das Agulhas Negras S.A.,7250,29000,
85283299000191,UNIMED CHAPECO - COOPERATIVA DE TRABALHO MEDICO DA REGIAO OESTE CATARI,7250,29000,
2990334000185,Agrodanieli Industria e Comercio LTDA,7250,29000,
1304124000123,Formula Comércio de Automóveis ltda,7250,29000,
2221358000170,Caminhos do Paraná S/A,7250,29000,
310006000165,Agrosul Catarinense Ltda.,"7200,42","28801,66",
64799539000135,Tecnoset Informaticas Produtos e Serviços  Ltda ,7200,28800,
89943849000102,Agrobella Alimentos Ltda,"7130,06","28520,25",
63982896000171,ABASE COMERCIO E REPRESENTACOES LTDA ,7125,28500,
88038260000105,Cooperativa de Crédito de Livre Admissão de Associados do Planalto Gaúcho - Planalto Gaúcho,"7118,26","28473,05",
508070000155,Abimar Supermercado LTDA,"7056,87","28227,48",
4986320000113,SER EDUCACIONAL S.A,"7046,35","28185,41",
7536553000102,Intersul Distribuidora de produtos veterinários Ltda.,7000,28000,
30121792000113,Credit Suisse(Brasil) Dist.Tít.Mob. S.A,7000,28000,
8430679000160,WSUL Espumas Indústria e Comércio Ltda.,7000,28000,
88304001000251,Harald Ind. e Com. de Alimentos Ltda.,7000,28000,
90136409000122,Toli Distribuidora de Autopeças Ltda,7000,28000,
15787622000189,XP CONTROLE 3 PARTICIPACOES S/A ,7000,28000,
1335050000192,Tratornew S/A,"6998,29","27993,17",
1725627000172,Haymax Componentes Eletrônicos Ltda,6925,27700,
5797331000118,SUPER G DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA ,"6889,78","27559,12",
4046576000140,Mapfre Previdência S.A.,"6887,5",27550,
84586833000176,Avelino Bragagnolo s/a indústria e comércio,6875,27500,
33000167000101,Petróleo Brasileiro S. A - Petrobrás,"6853,75",27415,
1597589000705,CONSIGAZ-DISTRIBUIDORA DE GAS LTDA   ,"6770,72","27082,86",
82643909000122,Sollo Sul Insumos Agrícolas Ltda,6750,27000,
3854323000130,Benner Tecnologia e Sistemas de Saúde Ltda.,6750,27000,
12461756000117,Patria Investimentos Ltda.,6750,27000,
8175256000141,UNICAL-UNIAO PRODUTORA DE CAL LTDA.,6750,27000,
108243000148,Trafego Publicidade e Marketing,6750,27000,
10779833000156,Medical Mercantil de Aparelhagem Médica Ltda,"6687,5",26750,
37043130000111,Trisolo Comércio e Representação de Produtos Agrícolas Ltda,6650,26600,
25102146000179,IRMAOS MATTAR & CIA LTDA ,6625,26500,
7862634000100,CEARA SEGURANÇA DE VALORES LTDA.,"6621,06","26484,24",
2384370000103,Space Tecnologia em Serviços LTDA.,"6515,5",26062,
4413729000140,Curupira S/A,6500,26000,
24890764000168,ECOTAUBATE AMBIENTAL S/A,"6449,77","25799,08",
90638000160,FOZ TROPICANA PARQUE DE AVES LTDA,"6448,22","25792,88",
84978485000182,Kidasen Indústria e Comércio de Antenas LTDA.,"6406,57","25626,26",
8350555000175,Francisco Assis Neto Posto Iguana,"6393,29","25573,14",
4883352000193,COMPANHIA INTER LOGISTICA S.A.,6375,25500,
24006876000103,Valoriza Agronegocio Ltda,6350,25400,
7240450000109,Apiguana Máquinas e Ferramentas Ltda,6325,25300,
82698085000198,Elian Indústria Têxtil Ltda.,6250,25000,
5140162000149,TECTRON IMPORTADORA E EXPORTADORA DE PRODUTOS VETERINARIOS LTDA ,6250,25000,
72535370000134,Nutrifrango Alimentos Ltda.,6250,25000,
83011460000142,SUL BRASIL IND E COM DE ACESSORIOS PLASTICOS E METALICOS S/A,6250,25000,
12377080000188,Atacado União LTDA,6250,25000,
5531725000120,DIMACI/SC MATERIAL CIRURGICO LTDA,6250,25000,
27744333000181,União Comércio de Peças Ltda,6250,25000,
83303404000181, TRANSPORTES GRAL LTDA ,6250,25000,
78143146000183,S.A Moageira e Agricola,6250,25000,
7128650000166,I PARK ESTACIONAMENTOS LTDA,6250,25000,
3321060000102,RODRIGO BRAVO & IRMAOS LTDA,6250,25000,
3044772000113,Seris Serviços Técnicos Industriais Ltda,6250,25000,
23821176000100,PROLUMINAS LUBRIFICANTES LTDA ,6250,25000,
61418141000113,Indústria Gráfica Brasileira Ltda.,6250,25000,
4432327000193,Incofios Industria de Fios e Malhas Ltda,6250,25000,
15179682000119,Rhodia Poliamida e Especiallidades LTDA,6250,25000,
279531000327,TUPAN CONSTRUCOES LTDA,6250,25000,
73325722000190,DAGNESE E CIA. LTDA,6250,25000,
14998371000119,J. Macedo S.A,6250,25000,
51775690000191,Furukawa Industrial S.A. Produtos Elétricos,6250,25000,
83064741000163,PAUTA DISTRIBUICAO E LOGISTICA S.A. ,6250,25000,
4144804000115,GRIFFO COMUNICACAO E JORNALISMO LTDA,6250,25000,
8390006000124,2S Inovações Tecnológicas Ltda,6250,25000,
58248352000140,Cobra Rolamentos e Autopeças Ltda.,6250,25000,
50856251000140,SILCON AMBIENTAL LTDA,6250,25000,
18209965000154,BAMAQ S.A. Bandeirantes Máquinas e Equipamentos,6250,25000,
7752236000123,Medilar Importação e Export. de Produtos Médicos e Hospitalares Ltda.,6250,25000,
48083919000112,Heraeus Eletro- Nite  Instrumentos Ltda,6250,25000,
83892174000133,ORCALI SERVICOS DE LIMPEZA LTDA ,6250,25000,
5017780000104,Rio Branco Alimentos S.A,6250,25000,
71027866000134,BBS - Banco Bonsucesso S/A.,6250,25000,
632911000131,THE GROUP COMUNICACAO LTDA ,6250,25000,
82618455000563,HUHTAMAKI DO BRASIL LTDA. ,6250,25000,
2944599000147,COSTA RICA MALHAS E CONFECCOES LTDA ,"6174,11","24696,45",
3818379000130,Sistema Pitagoras de Educação Sociedade Ltda.,"6139,83","24559,3",
14333631000137,COMPREV SEGUROS E PREVIDENCIA SA ,6075,24300,
73730129000129,Bellenzier Pneus Ltda.,"6067,5",24270,
18710670000167,CPFL Eficiência Energética S.A.,6000,24000,
74072513000144,Agro Comércial Afubra Ltda,6000,24000,
2758654000104,Parsec Corretora de Seguros Ltda,6000,24000,
35632819000156,Lagoa da Anta Empreendimentos Hoteleiros Ltd.,6000,24000,
11476673000139,BANCO RANDON SA ,6000,24000,
11389394000138,Terminais Fluviais do Brasil S.A.,6000,24000,
75024521000188,Westaflex Tubos Flexíveis Ltda.,6000,24000,
15108924000183,DIJON COMERCIO DE VEICULOS LTDA ,6000,24000,
83307926000151,Brasão Super S.A,6000,24000,
18460972000124,DISTRASA S/A,6000,24000,
2295585000140,Mcgraw-Hill  Interamericana do Brasil Ltda (Standard & Poor's),6000,24000,
7202226000114,Prix Veiculos Ltda,6000,24000,
4865514000160,Terrasol Veiculos Ltda,6000,24000,
61854147000133,Ace Schmersal Eletroeletronica Industrial Ltda,"5942,38","23769,53",
77910651000143,WK Sistema de Computação Ltda,"5932,61","23730,44",
15610121000122,SP Brasil Atacado e Varejo Gen. Alim. Ltda.,"5929,59","23718,37",
87547238000110,Madem S/A Indústria e Comércio  de Maddeira e Embalagens.,5925,23700,
82270711000140,Cargolift Logistica,"5916,79","23667,14",
6002029000199,Colégio Poliedro Sociedade Ltda,"5833,34","23333,34",
1755087000170,Sand Beach Indústria de Confecções Ltda.,5750,23000,
4865359000182,Witzenmann do Brasil S.A,5750,23000,
1576749000144,Elring Klinger do Brasil LTDA.,5750,23000,
13653008000107,Avantti Móveis para Escritório Ltda.,5750,23000,
